西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,"從大學吃到現在的優質好店，麵條彈牙不死硬，調味配料都很新鮮美味；非常感謝老闆娘香香阿姨還特別有做吃素的餐點，最愛素食咖喱/奶汁菌菇、素食玻璃麵。

吃完麵後剩下的湯汁拿去沾剛烤好的吐司，一面有可口的調味搭配上另一面酥脆的口感，堪稱完美空盤就是對店家手藝最高的致敬

謝謝老闆娘和老闆堅持給客人最好的品質，來師大必吃的好店","堤香在泰順街的新民小學附近的巷內，算是價格親民的義大利麵店，麵量足夠吐司和紅茶自助式可自取，＄＄120～140左右。

若要省荷包又要吃得飽，可以。但美味度就不能太期待了，尚可而已。

用餐區有一樓及B1，但1樓較為舒適。內部裝潢有鄉村樸實風，簡單舒適",生意很好，麵量很大，個人覺得口味中規中矩，沒有特別讓人驚艷的地方。,"土司吃到飽，義大利麵水準尚可
吃飽絕對沒問題
口味就一般般","蒜香培根在同價位區間沒有對手
不要輕易加辣，小辣就是大辣..."
台式/小吃,炒飯,ChIJmfkSC4-pQjQR46Ugye5gnOQ,牛老大牛肉麵館,"雖然住在師大夜市附近，但也很久沒有這邊用餐了，原來也發現有糨些新開的食肆，例如張媽媽大雞排，不過今天晚上很想吃牛肉麵，就篤定這家牛老大。之前好像在別的地方吃過這家，但那次應該沒大注意品評，所以還是多來試一次吧。

點了個最基本的紅燒牛肉麵，這才好比較這店做得怎樣。湯頭看起來比較清淡，但味道還是頗足的。牛肉是4片牛腱，NT$140也可以接受，不算太貴，不過牛肉有輕微的韌，吃起來口感稍為差一點，但味道是不錯的。麵的份量有點兒少，對我胃口比較大的人，一碗麵就不夠飽了。不過這正好到旁邊的張媽媽買一份大雞排！這店位置蠻多，還有B1，應該不太需要排隊吧。今天是週六8點的時間，客人不多也不少。不過在台灣牛肉麵吃多了，咀刁了，要滿足就更難了…",環境舒適，麵條很Q彈,雖然才看完評論來吃，但還是覺得網友給的很中肯，刀削麵的麵體不差，但木須炒麵沒有那個香氣，吃到味道後只想草草吃完。,"當天服務員送錯餐也沒道歉，直接端走~
後來換了一碗
局然把送錯的餐，試圖端給別人.
試問: 那晚送錯的那份餐，如果別人不小心加入了什麼東西，
這樣好嗎?
通常不是要重做一碗 再送到下一位客人手上??
將心比心，如果是右從別人桌上端來的.
目前又是肺炎期間
這樣防疫是對的嗎?
衛生堪慮阿~","好吃，衛生，有免費紅茶
兩層樓，一樓與地下一樓，有廁所，缺點是地下一樓網路不好，每次去都盡量坐一樓的位子
牛肉湯麵、牛肉麵、牛筋麵、燙青菜都不錯。
炒飯的部分只能說個人感覺偏貴，CP值較低。"
台式/小吃,炒飯,ChIJ2y44g4upQjQRUyE9HmNk1ZY,香港亨記(公館店),"東西好吃，價格平實，但是每日例湯可以多換一換嗎？（以前的評論）

改名字後，我們再去吃了2次，我只能說越改越糟...","第一次來吃，很驚艷每樣都好吃！

黃金蝦炒飯調味很特別，跟一般外面吃的炒飯不一樣，菠蘿油外皮酥脆，還有老闆推薦的沙嗲串燒也勝過很多居酒屋，烤得剛剛好，味道也很好吃！

老闆很親切和店員也不錯，推！",根本不是港式！價錢其實不貴，但看到菜上桌的時候，就馬上覺得這也太坑了吧！真的不推薦！,"點了一份豬骨皮蛋瘦
肉粥外帶回家吃。口味還不錯，但吃到骨頭時，感覺油膩膩的有股騷味。
另幫我兒子帶了一份臘肉炒飯，他第一口吃下去就吐出來，我嚐了一口，天啊！簡直是回鍋油炒的，不…像地溝油炒的，根本不能吃，只好整盒給當廚餘扔棄了，這家店，我們絕對不會再訂購了！",東西好吃，服務親切，有茶餐廳的感覺。會想再訪的店家。
台式/小吃,炒飯,ChIJ03lUD4mpQjQRVdF1SIPeIRQ,上好魚翅燕窩,很簡單，賣魚翅我就刷一星,抱著很高的期待過來，結果排翅處理的很難吃,"目前少有的魚翅專門店，開業已久，深受老饕的光臨賜教！

平日有一年輕的眼鏡文青系妹子級的員工提供外場餐點服務。",明蝦炒海參好,價格實在，物超所值！
日式料理,日式料理,ChIJfYm9wYupQjQR0EZq7Pq77n8,平山家日式料理,"4人聚聚，
群組有人推薦，
在3樓神祕的地方，
這間冷氣超級冷，
人都還沒到齊店員就問要不要點餐?
朋友才剛到菜單都還沒看店員又來問要不要點餐= =
壓迫感很重....不知在急啥@@
一進門桌上就兩盤小菜(去問才知是招待的)，
生魚片$380+$38，
味道普普，
沒說很好吃，
就是家庭料理，
套餐有沙拉.蒸蛋.白飯,湯,可以吃很飽!
最後有紅豆湯是不錯，
生魚片我覺得朝鑫比較好吃^^
PS:可刷卡，
店員聽口音好像不是台灣人~~~",家庭式的日式餐廳，生魚片還算新鮮，餐前有招待兩道小菜，餐後有紅豆湯當飯後甜點。,"又貴又難吃
1.綜合生魚片七片380
2.燒肉定食280（豬肉片炒洋蔥而已，煮的比我媽媽煮的還難吃）
3.一小杯可能100ml都不到的可樂要30
4.冷麵定食就是一般超市都買的到的冷凍烏龍麵280
完完全全的不好吃…超雷
我很意外網路上評價竟然是還不錯！？",料理一級棒，老闆娘也很親切,部分台大老師還有教授會來用餐 老闆娘很親切
日式料理,日式料理,ChIJ0z6TUYmpQjQR4H4LvJsT1I4,蓮花日式料理(台大店),null
日式料理,日式料理,ChIJow645DKpQjQR7WPDEWVFqco,心KOKORO食堂/台北日式料理/公館美食/公館小吃/公館餐廳/公館日式料理/公館壽司,"點了綜合鮭魚丼飯及六貫握壽司，丼飯份量多，男生也能吃飽，內容物豐富，而且價格算便宜實惠。
再來是扣一顆星的小缺點，出餐速度真的稍久，六貫其中的竹莢魚有腥味。
整體還算不錯，瑕不掩瑜，cp值算高，還會再訪的店。","已經成為我的每月必吃啦！
真的太好吃了
擺盤也好細心
但建議時間很充裕再去吃
店面很小
店員只有兩個人
所以排隊加上等餐快一個小時也是有可能的喔
（不過真的很值得！",服務人員很好，可惜個人偏好的蛤蜊湯不是很滿足，丼飯擺盤漂亮，如果魚的味道再鮮美就更好了。,非常的好吃新鮮 店裡雖然只能做10個人 但師傅很專心的做著料理 店家也不會急著接客人而失去食物的美味 雖然出餐慢 但很值得等待 滿滿豐富的料理 每一口都是享受,"焦糖鮭魚丼，吃完有幸福感！而且不只鮭魚啊～～其他海鮮也給你了！
打卡的燻鮭魚手卷也是紮實的，令人開心。
真的是被忽略的小店，但又希望不要太多人知道。
之後會想回訪嘗試不同品項。"
日式料理,日式料理,ChIJ1_cMg4upQjQRNORaeNLcO_8,赤神日式豬排公館店,口味不錯，依份量來說稍貴。,好吃日式豬排店,"腰內豬排口感很好，酥軟好吃
黑豚里肌更富油脂及香氣，皮肉一有點分離，表現較為一般
豬排沾芥末比起芝麻和豬排醬的組合來得更帶感
開頭會給三樣開胃小菜，口味適當
提供高麗菜絲、白飯、味噌湯及芝麻醬、柚子醬 //高麗菜、白飯可無限續
服務品質佳

#炸豬排
$250～410 +30～210 +10%","近期吃過最讚的炸豬排店！
會有一些不能續的小菜，高麗菜絲是可以續的
沾醬的部分不管是豬排醬還是柚子醬還是胡麻醬都很棒，調配的剛剛好不會太鹹或太膩
炸豬排的麵包粉很棒，肉質也很好吃
白飯,特色飯跟味噌湯也都可以續 味噌湯的料很豐富
飲料跟甜點也都有在水準之上
價位也很合理 是會想一直來的店！大推",味道還可以
日式料理,日式料理,ChIJvVwtAIypQjQR9zeQpfeQjUg,小原田 公館店,日式風格，價錢合理，上菜快速,"去店面吃過一次，覺得還不錯，今天在家裡叫了外送，綜合生魚片七片，超 級 不 新 鮮，我家離店只有400公尺，這麼短的距離，我不相信外送平台有什麼問題啦。

只想問兩個問題：
生魚片做好之後在室溫下是不是擺了很久？
還是生魚片本身是不是就不新鮮？

旗魚根本就壞掉了，軟軟爛爛一點纖維都沒有，到 底 什 麼 鬼，一整口腥臭爛肉，氣爆，是怎樣，我是蛆嗎？？還是蟑螂嗎？？只能吃這種垃圾嗎？？

鮭魚跟鮪魚也都超不新鮮，你們是去水溝抓魚嗎？

吃完沒多久馬上拉肚子，速度之快，看著$210在馬桶裡載浮載沉真的滿肚肚爛，誠心建議你們轉行當魔術師，表演怎麼把錢變大便==

寫那麼多結論兩字：垃圾。",平價CP值高。,花枝握壽司好吃,一訪：角落位置的地板滲出不少水，導致包包和外套濕了一大片，但食物還不錯。二訪：假日用餐限時90分鐘，但沒人排隊的話不會趕人。
日式料理,日式料理,ChIJrxRbB4apQjQRPxicBSDapDM,miso日式食堂,5人吃兩份雙人餐飽足get！肉類餐點軟嫩，牛蒡松阪豬捲餅很特別～謝謝Jenny&Grape!!!,餐點蠻好吃的，定食東西蠻多的！對女生來說，份量很足夠！但男生好像不一定（？）,非常推薦！服務好、環境舒適，重點是食物非常美味！照燒雞腿丼飯，鮮嫩多汁，搭配濃芝麻醬生菜，口味清爽！,"前面有兩組客人的情況下
我們等了將近40分鐘
丼飯根本不是丼飯
同樣價位 我選擇福勝亭
比較便宜之外 還不用等太久
完全不推","炸豬排脆度夠，肉也夠厚好吃
偶爾想吃吃日式店家的好選擇
好吃，內用環境舒適，餐點簡單無負擔～"
日式料理,日式料理,ChIJd9kheYapQjQRDNUDJQo3AOA,欣匠 割烹料理,又是一家很不想推薦的店！很怕太多人知道以後一位難求...店內全為板前座席，老闆的手藝極度高超，坐在板前靜靜的看著老闆俐落、優雅的手法，老闆娘默契極佳的在一旁協助，端上料理...平時很喧鬧的我們都靜下來了～這是讓人忍不住安靜享受的美食！雖然位子少空間也不大，但整體的用餐氛圍是非常舒適的！即使在一堆「初魚」環繞的泰順街，欣匠還是我的首選。當已麻痺CP值給予的誘惑時，真正打動人心的，就是無可取代的美味和扎扎實實的職人精神了～很愛，很推。,真的是讓我ㄧ在回味及有記憶的店家，大推！,帶朋友來吃，覺得很符合價位。還算不錯,"東西很好吃
師傅很友善
出餐的時候都會介紹產地還很能聊天","老闆不是一般的強~! 不是一般的用心~! 不是一般的堅持~! 欣匠真的不是一般的好吃~!!!

好幾年前第一次踏入欣匠就覺得老闆的手藝很棒, 現在改成無菜單料理全預約制, 老闆的功力更能無限發揮, 令人銷魂的青甘, 入口即化甘甜無比的海膽, 殺手級的熟成鮪魚腹肉, 一整隻明蝦握壽司, 比蛋糕還好吃的江戶前玉子燒, 以及曾經滄海難為水的烤鰻魚飯 (就是沒辦法再吃別家的鰻魚飯了), 還有好多好多特選的食材料理, 總覺得每次都有驚喜! 我和老公都非常喜愛這家店, 還能輕鬆的喝點小酒跟老闆談天說地, 人生之樂, 夫復何求啊~~"
日式料理,日式料理,ChIJpfah2pipQjQR_EjvpvU90Xs,朝日壽司,"2020-11-06（個人評價：４分；滿分：５分）

握壽司的部分溫度控制得不錯，醋飯也很緊實。

鮪魚握壽司軟嫩，油脂會在口中融化。

鮭魚握壽司新鮮，肉質緊實無腥味。

北寄貝握壽司很有嚼勁，帶點淡淡的海味。

綜合海鮮丼是ＣＰ值很高的一道，如果有選擇困難可以考慮這道。

整體份量也夠大，還附上味噌湯，一個人吃得飽。

其中蝦很新鮮，鮭魚卵不錯，干貝鮮而不甜。

醋飯帶有淡淡的甜味，飯體粒粒分明而不黏，醋味也不濃厚，是可以單吃的那種醋飯，大推！

味噌湯是日式味噌湯，魚肉不少，喝到最後會有點偏鹹。

烤中卷本身的味道不重。

非常有嚼勁，提供的胡椒鹽很對味，另外有小金桔，個人比較喜歡胡椒鹽，單配金桔有點酸，兩種一起搭配的味道也很讚。

非常適合外帶回家當下酒菜！？

店內空間不大，只有１１個板前的座位，採現場候位制度。

上菜算蠻快的，店員很有禮貌，店內看起來乾淨整潔。",":::  QA食間  :::

■ 不開放訂位，無特殊用餐時間限制
■無特殊低消規定，不收取服務費

-
烤小捲$220
酪梨卷$280
鮮蝦壽司 $40/2貫
鹽烤雞肉串$90/2串
炙燒鮭魚壽司$90/2貫

一開始還被價錢嚇了一跳，40元的鮮蝦直逼迴轉壽司的價格！

我們這天點的都很好吃，也都覺得非常必點，從新鮮的整隻烤小捲，多汁鮮甜，擠上檸檬、沾點胡椒粉就很美味！鹽烤雞肉串選用雞腿肉，將肉汁鎖在裡頭，烤功勝過非常多的居酒屋啊！

另外壽司的話，鮮蝦同樣新鮮，但並不特別驚艷，加上內裡直接放入芥末讓我們不太能接受。而炙燒鮭魚則是讓我們頻頻加點，鮭魚相當大塊，稍稍炙燒過，細緻的口感極為軟嫩，好好吃呀！酪梨卷口感與視覺感受兼具，外層以酪梨和鮭魚卵包覆，裏頭則放入鰻魚、蘆筍和玉子等內餡，好吃又清爽！

這天我們兩人用餐，為了不要吃太多點的挺收斂，但還是吃得飽且覺得幸福感滿滿，對於這間好店實在有種相見恨晚的感覺！
-

兩三年前QA還是大學生時，想逛街經常往師大夜市跑，對於朝日壽司的印象是無論何時經過，外頭總不乏候位的人潮，也因為一位難求，始終沒有走進去過。

前幾天在附近想吃晚餐，竟意外地還有位子，看了看價位，更是出乎我們意料之外地平價，滿懷欣喜入座，真的沒讓我們失望！

店內僅有十個位子左右，小小的空間，師傅製作料理的吧檯就佔去了一大半。雖然不加收服務費，服務生仍會殷切地送上熱茶，實在是滿加分的一點。點好餐、靜候餐點上桌的同時，也可以看到師傅端出新鮮的海鮮，熟練地捏出一個個握壽司。

衡量價位，這次的用餐體驗更超乎我們的期待，朝日壽司的餐點雖是一般日式料理常見的菜色，份量卻很大方實在，吃起來也相當新鮮！附近還有間 #朝鑫壽司 ，查了查網路上的資料，其實是同一間店，但朝鑫位子更多且開放事先訂位，烤物料理選擇也更多元，下次再去試試看囉！

-
不錯過任何美食，IG搜尋並追蹤 : qafoodies",好友推薦而來開發：藝服務尚可，價格因養這麼多員工而略抬高(與師大商圈CP值走低同步)。外食很少，要真享還是去信日料囉,"綜合海鮮丼Cp值很高，很推壽司類的料理，
不過有一次師傅不小心上錯單點的握壽司，反應過後很快就換正確的品項了，
烤物類沒有另外調味有點淡，開到很晚很適合當宵夜","五顆星 給超值的海鮮丼飯和服務
炙燒鮭魚腹很香，炙燒鮪魚中肚可惜了

但絕對會再訪～"
日式料理,日式料理,ChIJwwvWSYmpQjQRxFxWRHIWG9E,漁人食舖,平價日本料理 座位很多,餐點新鮮又好吃,走進來時沒人，還有點害怕，吃到東西就知道我多慮了，東西挺不錯的，附贈的湯非常好喝，魚肉品質都很不錯。,CP值勉強，用餐環境也勉強，下次不會再去消費的名單之一,餐點都很新鮮，味道也不錯，蠻常來吃的，推推。
日式料理,日式料理,ChIJkemjkoupQjQR0-1kiS9Pu-g,GINDACO築地(台灣公館店),null
日式料理,日式料理,ChIJm9Pm4oqpQjQRDV5mvDLTn_k,幸好沒錯過你 Master K. 公館-排隊巷弄美食 隱藏日式料理(人氣必吃),推牛汁醬蛋包飯，好吃,做蛋包飯的居然蛋不新鮮,紅心蛋包飯好吃,炸雞很脆,"我這次點的是「紅心蛋包飯」
吃完後的感想是 我覺得我點的不是蛋包飯 而是番茄醬
飯是番茄醬飯，蛋上面又淋了一坨番茄醬
吃到最後老實說會很膩
不過蛋很紮實，是好吃的！
現在去還可以免費加大ㄛ！！！！"
日式料理,日式料理,ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,很不錯的店。,"我是在10/10晚上去消費的，真心稱讚當日的服務員，是個身材稍為圓潤可愛的短髮大姐！
態度輕切，談吐活潑又真誠，給人信任感～
當日推薦的餐點真的都很好吃！
我跟男友，還有朋友都很滿意
被這樣的姐姐服務到，忍不住都想多點幾樣！

當日餐點，推薦給沒吃過的網友：
1.炙燒鮭魚肚手卷
（就是好吃，沒話說，但鮭魚肚會油一點點 個人是覺得很香）
2.鹽烤雞肉串
（薄皮外脆內軟，有檸檬跟椒鹽）
3.毛毛蟲壽司
（炙燒鮭魚+炸蝦+玉子燒的神仙組合）
4.牛丼飯
（我忘記全名但這個牛肉片真的香！）
5.蒜頭蛤蜊湯
（蛤蜊算大顆的！！一般外面都很小）

總之，可以再回訪的一間店
希望店家繼續保持或更進步！","用餐空間舒適，服務人員友善，有自助式熱茶
不用服務費，只收現金
丼類+60享有手捲或茶碗蒸二選一及味噌湯
牛丼(120) 肉、菜、飯的份量都算多，調味不錯
毛毛蟲壽司(5顆220) 飯量偏多，必須分兩口才能吃完一顆，會讓配料的味道不那麼突出。特別之處在於中間有加起士塊，在別間日式料理沒吃過這種味道的毛毛蟲壽司",偶然經過這間店，服務態度很好，但是鮭魚貓飯到鮭魚和豬排丼飯的豬排都有點太乾，以150來說沒有很喜歡(ε ),"價格不錯，生魚片丼飯、熟食丼飯、手捲跟烤雞肉串都很好吃
店員們招呼很熱情，環境乾淨
唯一料想不到的是烤味噌魚原來就是用油魚
讓我兩天後報銷1件褲子跟椅子上洗不掉的味道
希望店家能註明清楚
如果知道是油魚我就不會點了"
日式料理,日式料理,ChIJ1RzZGJCpQjQRSjPGB8RuQLg,福岡日式簡餐,"裝潢偏舊的日式老食堂，讓人有一種回到家吃飯的安心感，店員對人都很客氣，對於行動不便者用餐也很貼心，每次來都可以享受慢食的優質店家。
有機會請務必試試定食系列，個人偏好雞腿跟豬排定食，副餐有干貝唇、滷昆布卷，再配上滑嫩的茶碗蒸（裡面還有銀杏！）和味噌湯，可以讓心靈跟胃都飽足的品項
日式便當內容物有鯖魚、雞腿肉、花枝丸、貢丸、滷蛋、青菜、菇，再配一碗味噌湯，一般胃口的女生也會覺得超豐富的便當

口味：四顆半星
回訪率：五顆星（回訪多次",中午上菜速度極快，推薦烤雞腿，關東煮很普通不推，希望下次餐點可以更熱會更好。,口味偏台式的日式簡餐，味道不錯、CP值高、份量足，建議點定食，除了主菜外還附2小菜、茶碗蒸、味噌湯，絕對大滿足～,雞腿定食好吃，雞腿烤的焦香，一定要講的是白飯，粒粒分明，煮得超讚。,有著家庭味的餐點跟服務，總是維持這樣的樸實無華而舒服的感覺
韓式料理,韓式料理,ChIJ88m1ZY-pQjQRfB8nsVz-Svw,飯館兒韓式專門店,炒鍋的肉類量少 附贈的湯溫冷不熱 CP值低價格偏高,味道還不錯，會附海帶湯跟小菜！CP值算不錯～,小菜：螞蟻上樹、高麗菜、鳥蛋，這到底是韓式還中式餐廳？味道很一般，唯一可取的是服務態度不錯！,"和二十年前以學生族群為主的經營模式已經不同,取而代之的是火鍋和烤肉,結帳時沒想到老闆娘還認得我,真的超過二十年沒來吃,還可以認出我來,老闆娘真的記性很好,第一次來吃也是因為韓國同學請我來這吃飯,感覺很好,於是有空就常來這吃",豆腐鍋軟軟綿綿的真是太好吃了！一定要來吃吃看啊
韓式料理,韓式料理,ChIJT2ATg4upQjQRsuHtuX_giws,韓江館銅盤烤肉,"四個人用餐，結果給我們做八人桌。原本想說其實可以不用但就算了，結果煮一煮發現肉怎麼都不會熟，別桌比我們晚來，整鍋都在冒煙了，我們的肉還是生的。一問才知道，店員說，我們這一桌的瓦斯本來就比較小，像那一桌就比較大。
真的不要這種服務欸。八人桌就給八個人坐，我們四個人坐八人桌，等半天肉都不熟，這樣吃到飽的意義在？","這是第一次去吃，但也是最後一次，
要不是最少是一顆星，
一顆都不想給，
這也是我第一次發負評文，
因為真是太生氣了！
起因是我們3人進去的時候，
服務員安排我們坐8人桌的位置，
因為我女兒吃了感冒藥想睡有點歡，
所以拿了隔壁桌上的免洗筷，
但我女兒只是拿起來，
我就已經制止她並且放在桌上，
可是那個女性服務員居然很生氣的過來一直瞪著我女兒看，
嚇得我女兒一直抱著我，
都不敢動也不太敢吃東西，
那個女服務生瞪了一會就很用力的把筷子放回去位置，
我們結帳時，女服務生還對我們說，
小孩要教，不能讓她這麼愛玩，
拜託大嬸，您眼睛有問題嗎？
沒有看到我制止女兒了嗎？
而且小孩愛玩有錯嗎？
她只是拿筷子，沒拆也沒弄壞，
也沒有弄髒您的店，
而且我都沒怪您嚇到我女兒，
不知您有沒有小孩，
但您不知道小孩嚇到會有陰影嗎？
您還來說什麼五四三，
也許是當媽玻璃心，
但您做的也太過分了，
一直瞪是什麼意思？！
這樣的態度，真的不敢恭維！！
勸勸想去的人，
負評一定是有理由的！！",味道不錯，小菜煎餅年糕冰淇淋等等吃到飽，肉跟菜跟海鮮纇也自己夾限時1.5小時，價格偏高，服務態度有待加強,"好久以前就想光顧的店
今天晚上果然讓我驚豔
肉質好吃不死鹹
花枝尤其一絕
蝦子蛤蜊青菜都好新鮮

值得試試",服務態度不佳，用餐時間還沒到就一直趕人收碗筷，問個問題語助詞一大堆，這樣還敢收服務費實在令人佩服
韓式料理,韓式料理,ChIJB5Ima4mpQjQRB3RV3z1H820,韓庭州韓國料理,點了蛤蜊豆腐鍋結果沙沒土乾淨也有沒開的，湯頭不錯但是整嘴都是沙的口感很差。海鮮煎餅普通，醬料部分不是喜歡的口味，小菜、烤肉味道不錯，整體而言cp值滿高的。,想吃韓式小菜時，就會來這裡吃。今天不餓，只點了一個韓式海鮮煎餅$190，不鹹，表皮有一點酥，裡面的蝦跟小卷不多，味道還可以。,烤五花肉乾乾脆脆的，但是生菜破破爛爛的；部隊鍋最後才上；其他還好,好吃，不過小菜對我來說不夠酸，不確定是否能續,今日一訪，春川辣雞油膩只有醬味，石鍋拌飯上來是溫的沒鍋吧！
韓式料理,韓式料理,ChIJQ58t3IqpQjQRpGtxc8kfAAM,首爾之星 Korean Food Express,"應該不會再來第二次，我們人多，所以坐比較裡面的位子，不太明亮。環境就還好沒有特別乾淨或髒亂，白飯飲料無限供應，但飲料都沒氣...最後喝蘋果汁。

餐點部分除了鍋物跟石鍋拌飯之外，我忘了自己點的餐點是什麼，但是要自己動手炒的，炒的很累XD

不收服務費。

大概就這樣沒什麼好介紹的",地點位於公館夜市內，停車不是很方便，騎車來機車位也不多，可以的話搭大眾運輸工具比較方便，喜歡吃韓國料理的客人這家店提供各項韓國的料理，服務人員的態度也很熱情親切，值得推薦來逛公館夜市的朋友們來品嚐看看。,服務人員只有帶你到坐位完全不會介紹第一次去的客人完全不會點餐也沒人可以問去櫃檯點餐櫃檯人員也在狀況外真的感覺很差,飯/飲料吃到飽，一鍋火鍋168元，其他加料另加價錢，服務還不錯，個人覺得可以來吃，食物賣相也很好,"可能是發現最近Poke很夯，他們改了招牌，目前同時賣生魚飯和韓國銅盤烤肉。

非常不推薦Poke，菜感覺放了很久，吃起來有種不太舒服的味道，蛋白質的份量也很少，詢問店員份量店員說不出來，實際拿到餐後目測大概只有35-45克。

總之就是個吃完差點想去隔壁再怒點一碗壓壓驚的狀態。"
韓式料理,韓式料理,ChIJ_4UUh4upQjQRrLM2RIXgA3Q,首爾之家,產品好吃，新鮮,價格貴到難以接受，點石鍋拌飯裡面只有肉的碎末，幾乎是看不見那種，而且要價200多，還要收一成服務費，服務生一直想把餐盤收走，根本不看裡面還有沒有剩，也不知道在急什麼，一般小餐館收服務費的算極少見，服務態度也這種程度而已，完全是不合理。另外也點了海鮮豆腐煲，結果送來湯底完全是麻辣，菜單也不寫好，一般人點海鮮豆腐煲大多是預期清湯湯底，結果送來竟是麻辣，極其不健康，真的是不知道該說什麼……常常見店門很多人排隊，但建議不要盲從，吃平常習慣的店就好，沒必要特別嘗試還自己氣自己，不過客觀來說這家店海鮮煎餅口味算不錯，但一樣一盤要350左右的價格，幾乎也是別家店的1.5倍以上，進店門實在需要三思，也希望大家不要被google上的評論影響，可能這家店有其他好吃的，但價格跟cp值也是另外需要考慮的部分。,"黑豬肉是店員在旁邊烤好再送上桌，厚度吃起來很有口感。石鍋蒸蛋調味好，只不過會有些鹽份沈澱在底部，底部吃起來比較鹹。辣炒年糕不會狂辣，也是好吃！海鮮煎餅送上來是放在鐵盤上熱騰騰噗滋噗滋的，用料不錯，麵粉不會加得很厚，口味也不鹹，沾上煎餅醬很清爽不膩！老闆娘還會過來巡視客人問有沒有什麼需求。
唯一缺點：因用餐區沒有加裝排煙設備，所以地板桌子都會有油油的感覺，待太久眼睛也會覺得不太舒服。",叫了一個牛加豬鍋，鍋小，裡頭大部份都豆腐，如果沒四樣泡菜都不知要吃什麼了，再加上服務費約260，CP值不佳，不會再光顧。,"老闆娘是韓國人
小菜除了秋刀魚以為都可以續
小菜蛋捲跟沙拉好吃欸
海鮮煎餅很厚實
銅盤烤豬肉會在旁邊考完再端過來
減少油煙味
很棒"
韓式料理,韓式料理,ChIJf_wOJpCpQjQRcx66sQNJUPQ,韓石鍋,"點完餐付完款後，廚房的老闆跟外場的老闆娘拌嘴起來。
後來開始越吵越兇，老闆開始拿著餐台上的空盤摔了起來，起初老闆娘仍耐著性子撿拾空盤，但後來也忍不住大聲叫罵起來。
見著此光景的我們，儘管只上了小菜，但看著被摔在地上的空盤，就是即將備上我們主餐的盤子，即已沒有繼續用餐的心情，邊收拾準備離去。
老闆娘見狀也口頭詢問是否要退款，但因結帳櫃檯就在料理區外，老闆也還在摔盤子。
為了避免波及，我們比了手勢沒接受退款就離開了。

本次經驗（沒有用到餐，不能算作用餐經驗）
如果能給0分，就會給0","人都還沒出去，就被老闆娘說謝謝光臨（臉臭）
然後有次去吃到有蟲的餐點，跟老闆娘反映，結果她口氣很差地說你要退錢還是給你新的，我還沒反應過來，她就直接罷餐點收走丟掉，把錢退給我
太讓人傻眼的服務態度",工作人員態度惡劣，東西味道糟，敬請小心勿踩雷。,"睡醒中午不知道要吃什麼，想起吃拌飯看看好了，這間韓石鍋每次走路去師大都會經過，
但就是沒進來用餐過，跟他對面的一間簡餐店一樣，也算靠近台電大樓站

店面不大，座位大概20人就滿了，裝潢簡單，另一邊牆上是菜單

菜單，石鍋拌飯跟鍋類大概170，烤牛肉飯大概150，點了辣牛肉鍋、牛肉石鍋拌飯、跟一
個海鮮煎餅

送上的小菜，不過看不懂這是一人份還是兩人分就是..今天是海帶芽、蘿蔔跟豆絲，味道
還不錯，蘿蔔跟海帶酸甜開胃，還有一碗牛肉鍋的白飯

石鍋拌飯有附辣醬可以加，料有洋蔥、牛肉跟一點點菇，口味有一點壽喜燒的感覺，鹹鹹
甜甜，加上辣醬但不會很辣就是，等悶久一點翻一下可以吃到下面的鍋巴

辣牛肉鍋，冬粉、牛肉、洋蔥還有一顆蛋就沒了，料真的不算多，口味也算是比較重

海鮮煎餅，份量OK，料算紮實，蝦子跟花枝算多，上面還有薄薄一層豬肉，最邊邊是酥脆
，裡面鬆軟口感還不錯

最後就是價格算高，因為料並沒有很多，小菜部分也有點疑慮，看別人點的烤牛肉飯還有
蛋，看起來比石鍋好耶，下次有機會再試看看",道地的韓國鍋，我們吃好幾年味道都沒變，讚
韓式料理,韓式料理,ChIJPXPKPuypQjQR08RUkkTgw3U,華克山莊-韓式料理,null
